series,family,split,method,config,seed,warmup,n,sliding_window,n_anom_eval,elapsed_s,AUC_PR,AUC_ROC,PointF1_opt,VUS_PR,VUS_ROC,precision,recall,F1,tp,fp,fn
555_YAHOO_id_5_WebService_tr_500_1st_730.csv,YAHOO,eva,spot,q0.001_d50,0,500,1680,24,4,0.1,0.1372160088330094,0.8329081632653061,0.3333288889481474,0.114796502836404,0.9480832105545388,0.125,0.25,0.1666666666666666,1.0,7.0,3.0
558_YAHOO_id_8_WebService_tr_500_1st_1125.csv,YAHOO,eva,spot,q0.001_d50,0,500,1427,24,80,0.0,0.0629019266907322,0.2906951003541912,0.1588863228637408,0.0784342239364892,0.3890132083898697,0.0909090909090909,0.0125,0.0219780219780219,1.0,10.0,79.0
560_YAHOO_id_10_Synthetic_tr_500_1st_893.csv,YAHOO,tuning,spot,q0.001_d50,0,500,1421,158,1,0.1,0.0011074197120708,0.0195652173913043,0.0022123672813312,0.1042856964983576,0.969834703411398,0.0,0.0,0.0,0.0,0.0,1.0
562_YAHOO_id_12_Synthetic_tr_500_1st_893.csv,YAHOO,eva,spot,q0.001_d50,0,500,1421,126,1,0.1,1.0,1.0,0.999995000025,1.0,1.0,0.1111111111111111,1.0,0.1999999999999999,1.0,8.0,0.0
568_YAHOO_id_18_WebService_tr_500_1st_333.csv,YAHOO,tuning,spot,q0.001_d50,0,500,1680,24,1,0.1,0.0169491525423728,0.9508057675996608,0.0333330055587786,0.0388237317393043,0.9740421088828594,0.0,0.0,0.0,0.0,0.0,1.0
006_NAB_id_6_Traffic_tr_2579_1st_5839.csv,NAB,eva,guardgp,default,0,500,10319,125,1030,11.2,0.1351867759069884,0.5228724785063412,0.1915664918069201,0.1604836946199903,0.6016098618025079,0.1,0.0019417475728155,0.0038095238095238,2.0,18.0,1028.0
570_YAHOO_id_20_Synthetic_tr_500_1st_658.csv,YAHOO,eva,spot,q0.001_d50,0,500,1421,135,4,0.1,0.0576953131494505,0.5474372955288986,0.1818152066602546,0.6747674415418959,0.9788917565690028,0.0666666666666666,0.5,0.1176470588235294,2.0,28.0,2.0
571_YAHOO_id_21_Synthetic_tr_500_1st_623.csv,YAHOO,eva,spot,q0.001_d50,0,500,1421,35,9,0.1,1.0,1.0,0.999995000025,1.0,1.0,0.6428571428571429,1.0,0.782608695652174,9.0,5.0,0.0
573_YAHOO_id_23_Synthetic_tr_500_1st_623.csv,YAHOO,tuning,spot,q0.001_d50,0,500,1421,35,9,0.1,1.0,1.0,0.999995000025,1.0,1.0,0.6428571428571429,1.0,0.782608695652174,9.0,5.0,0.0
579_YAHOO_id_29_WebService_tr_500_1st_1342.csv,YAHOO,eva,spot,q0.001_d50,0,500,1680,24,1,0.1,1.0,1.0,0.999995000025,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.0
583_YAHOO_id_33_WebService_tr_500_1st_1616.csv,YAHOO,tuning,spot,q0.001_d50,0,500,1680,24,1,0.1,1.0,1.0,0.999995000025,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
603_YAHOO_id_53_Synthetic_tr_500_1st_893.csv,YAHOO,eva,spot,q0.001_d50,0,500,1421,4,1,0.1,1.0,1.0,0.999995000025,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.0
643_YAHOO_id_93_WebService_tr_500_1st_1038.csv,YAHOO,tuning,spot,q0.001_d50,0,500,1680,24,1,0.0,0.0041493775933609,0.7964376590330788,0.0082643805076156,0.0041322314049586,0.7972858354537743,0.0,0.0,0.0,0.0,0.0,1.0
644_YAHOO_id_94_WebService_tr_500_1st_1078.csv,YAHOO,eva,spot,q0.001_d50,0,500,1435,24,75,0.0,0.0608628329830617,0.3871395348837209,0.1505140371056714,0.0708074762726721,0.4298170981088137,0.0,0.0,0.0,0.0,3.0,75.0
645_YAHOO_id_95_WebService_tr_500_1st_1047.csv,YAHOO,eva,spot,q0.001_d50,0,500,1680,24,1,0.1,1.0,1.0,0.999995000025,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
649_YAHOO_id_99_WebService_tr_500_1st_1386.csv,YAHOO,eva,spot,q0.001_d50,0,500,1680,168,1,0.0,0.0344827586206896,0.976251060220526,0.0666660222284517,0.2459872631388609,0.9857643124735832,0.0,0.0,0.0,0.0,0.0,1.0
657_YAHOO_id_107_WebService_tr_500_1st_1260.csv,YAHOO,eva,spot,q0.001_d50,0,500,1440,4,1,0.0,1.0,1.0,0.999995000025,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
658_YAHOO_id_108_Synthetic_tr_500_1st_893.csv,YAHOO,eva,spot,q0.001_d50,0,500,1421,125,1,0.0,1.0,1.0,0.999995000025,1.0,1.0,0.032258064516129,1.0,0.0625,1.0,30.0,0.0
672_YAHOO_id_122_WebService_tr_500_1st_857.csv,YAHOO,eva,spot,q0.001_d50,0,500,1680,24,1,0.0,0.25,0.9974554707379136,0.3999968000255998,0.2,0.997879558948262,0.0,0.0,0.0,0.0,0.0,1.0
680_YAHOO_id_130_Synthetic_tr_500_1st_893.csv,YAHOO,eva,spot,q0.001_d50,0,500,1421,118,1,0.1,0.015625,0.9315217391304348,0.0307689278136338,0.6686334573689086,0.9925991399383068,0.0,0.0,0.0,0.0,9.0,1.0
689_YAHOO_id_139_WebService_tr_500_1st_1073.csv,YAHOO,eva,spot,q0.001_d50,0,500,1680,24,1,0.1,1.0,1.0,0.999995000025,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.0
693_YAHOO_id_143_WebService_tr_500_1st_1003.csv,YAHOO,eva,spot,q0.001_d50,0,500,1427,24,2,0.0,1.0,1.0,0.999995000025,0.625,0.9991891891891892,0.2857142857142857,1.0,0.4444444444444445,2.0,5.0,0.0
701_YAHOO_id_151_Synthetic_tr_500_1st_893.csv,YAHOO,eva,spot,q0.001_d50,0,500,1421,156,1,0.1,1.0,1.0,0.999995000025,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
723_YAHOO_id_173_WebService_tr_500_1st_1214.csv,YAHOO,eva,spot,q0.001_d50,0,500,1420,48,2,0.2,1.0,1.0,0.999995000025,0.7448979591836735,0.999444222133298,0.0408163265306122,1.0,0.0784313725490195,2.0,47.0,0.0
724_YAHOO_id_174_WebService_tr_500_1st_1030.csv,YAHOO,eva,spot,q0.001_d50,0,500,1680,24,5,0.1,0.6778293135435992,0.9662978723404256,0.7499953125292966,0.3770303735218669,0.9834679736537496,0.3,0.6,0.4,3.0,7.0,2.0
734_YAHOO_id_184_WebService_tr_500_1st_768.csv,YAHOO,eva,spot,q0.001_d50,0,500,1424,23,227,0.1,0.9582027990188964,0.9729868094223828,0.919426308398209,0.972500675633734,0.9872013054652043,0.908256880733945,0.8722466960352423,0.8898876404494381,198.0,20.0,29.0
741_YAHOO_id_191_WebService_tr_500_1st_1114.csv,YAHOO,eva,spot,q0.001_d50,0,500,1680,24,2,0.1,0.75,0.999151103565365,0.6666622222518517,0.5500000000000003,0.9990449915110357,0.3333333333333333,0.5,0.4,1.0,2.0,1.0
755_YAHOO_id_205_Synthetic_tr_500_1st_893.csv,YAHOO,eva,spot,q0.001_d50,0,500,1421,125,1,0.1,1.0,1.0,0.999995000025,1.0,1.0,0.0625,1.0,0.1176470588235294,1.0,15.0,0.0
762_YAHOO_id_212_WebService_tr_500_1st_1055.csv,YAHOO,eva,spot,q0.001_d50,0,500,1680,24,2,0.1,0.0074054621848739,0.8094227504244482,0.0175435149344433,0.0069923720010345,0.7623280739355519,0.0,0.0,0.0,0.0,1.0,2.0
007_NAB_id_7_Traffic_tr_624_1st_2087.csv,NAB,tuning,guardgp,default,0,500,2499,5,248,3.9,0.2574976680435814,0.6068536872938965,0.2788558984259294,0.2540892092211911,0.6103871449966488,0.8,0.032258064516129,0.0620155038759689,8.0,2.0,240.0
780_YAHOO_id_230_Synthetic_tr_500_1st_893.csv,YAHOO,eva,spot,q0.001_d50,0,500,1421,154,1,0.1,1.0,1.0,0.999995000025,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
788_YAHOO_id_238_WebService_tr_500_1st_973.csv,YAHOO,eva,spot,q0.001_d50,0,500,1680,24,1,0.0,0.25,0.9974554707379136,0.3999968000255998,0.2,0.997879558948262,0.0,0.0,0.0,0.0,0.0,1.0
797_YAHOO_id_247_Synthetic_tr_500_1st_893.csv,YAHOO,eva,spot,q0.001_d50,0,500,1421,158,1,0.1,0.0011210762331838,0.0315217391304347,0.0022396192862216,0.0769290220119208,0.965400399259957,0.0,0.0,0.0,0.0,0.0,1.0
806_YAHOO_id_256_Synthetic_tr_500_1st_893.csv,YAHOO,eva,spot,q0.001_d50,0,500,1421,118,1,0.1,0.0012406947890818,0.125,0.0024782899937827,0.2376919422544264,0.9651851965700357,0.0,0.0,0.0,0.0,1.0,1.0
807_YAHOO_id_257_WebService_tr_500_1st_1210.csv,YAHOO,eva,spot,q0.001_d50,0,500,1424,24,17,0.1,0.2804607761587374,0.8754783059861211,0.3846108580414399,0.5599711662055532,0.959582149239281,0.0481927710843373,0.9411764705882352,0.0916905444126074,16.0,316.0,1.0
