seed,warmup,outlier_type,rmse,msll,f1,precision,recall,part,warmup_contam
9,80,focused,0.08547418865330163,-2.296721942513225,1.0,1.0,1.0,length,0.0
0,80,uniform,0.15173595313061103,-1.6537615056892108,1.0,1.0,1.0,length,0.0
1,80,uniform,0.13963478617659658,-1.8068096899411514,1.0,1.0,1.0,length,0.0
2,80,uniform,0.11049207746813282,-2.011341497090226,0.9975062344139651,0.9950248756218906,1.0,length,0.0
3,80,uniform,0.13453878076908377,-1.8221156863657928,1.0,1.0,1.0,length,0.0
4,80,uniform,0.1153498905971842,-2.0385035810027485,0.9975062344139651,0.9950248756218906,1.0,length,0.0
5,80,uniform,0.09049996599042757,-2.342897909173877,1.0,1.0,1.0,length,0.0
6,80,uniform,0.11283677666554558,-2.060128477335226,1.0,1.0,1.0,length,0.0
7,80,uniform,0.13131866479481288,-1.1925867171462763,1.0,1.0,1.0,length,0.0
8,80,uniform,0.10352467783063041,-2.0186714787481934,1.0,1.0,1.0,length,0.0
9,80,uniform,0.13137292851701027,-1.806813089817029,1.0,1.0,1.0,length,0.0
0,40,asymmetric,0.12064608525172092,-1.755989904654332,0.9950248756218906,0.9900990099009901,1.0,contam,0.0
1,40,asymmetric,0.09505596021555379,-2.2509348081535374,1.0,1.0,1.0,contam,0.0
2,40,asymmetric,0.1315789842196484,-1.6124784491683966,0.9950248756218906,0.9900990099009901,1.0,contam,0.0
3,40,asymmetric,0.10147983050620406,-2.0553634290643057,1.0,1.0,1.0,contam,0.0
4,40,asymmetric,0.14535069134214748,-1.7077141353669303,1.0,1.0,1.0,contam,0.0
5,40,asymmetric,0.10990816749977682,-1.8287359448933471,1.0,1.0,1.0,contam,0.0
6,40,asymmetric,0.09845065494151663,-2.1922853416679158,0.9950248756218906,0.9900990099009901,1.0,contam,0.0
7,40,asymmetric,0.12199341105913107,-1.958430065734398,1.0,1.0,1.0,contam,0.0
8,40,asymmetric,0.11252109499520663,-1.980930023538764,1.0,1.0,1.0,contam,0.0
9,40,asymmetric,0.11593270014924009,-1.9949811508404307,1.0,1.0,1.0,contam,0.0
0,40,uniform,0.09920694346614917,-2.095246922804713,0.9975062344139651,0.9950248756218906,1.0,contam,0.0
1,40,uniform,0.12638813190012319,-1.9013005718009421,1.0,1.0,1.0,contam,0.0
2,40,uniform,0.10950788948503433,-2.08406198915483,1.0,1.0,1.0,contam,0.0
3,40,uniform,0.13172661063286692,-1.7846053627879757,1.0,1.0,1.0,contam,0.0
4,40,uniform,0.11636564712253865,-2.0982986706063644,0.9975062344139651,0.9950248756218906,1.0,contam,0.0
5,40,uniform,0.0987331260839968,-2.09824957394814,1.0,1.0,1.0,contam,0.0
6,40,uniform,0.1000753863897246,-2.110975988499802,1.0,1.0,1.0,contam,0.0
7,40,uniform,0.10441971020541857,-2.0348628714616845,1.0,1.0,1.0,contam,0.0
8,40,uniform,0.1491620843183629,-1.5675815912756041,0.9975062344139651,0.9950248756218906,1.0,contam,0.0
9,40,uniform,0.11927030275623772,-1.983788555702973,1.0,1.0,1.0,contam,0.0
